REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,M,2.524,Percentage,EBAS
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,_T,2.486,Percentage,EBAS
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,F,5.771,Percentage,EINT
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,M,4.564,Percentage,EINT
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,_T,5.03,Percentage,EINT
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,F,3.96,Percentage,EADV
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,M,2.666,Percentage,EADV
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,_T,3.229,Percentage,EADV
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,F,7.259,Percentage,EBAS
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,M,8.529,Percentage,EBAS
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,_T,7.939,Percentage,EBAS
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,F,4.56,Percentage,EINT
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,M,4.27,Percentage,EINT
Switzerland,CHE,2019,8,RANK,15.5,Percentage of population,_T,4.416,Percentage,EINT
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,F,4.329,Percentage,EADV
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,M,2.877,Percentage,EADV
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,_T,3.499,Percentage,EADV
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,F,8.131,Percentage,EBAS
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,M,7.579,Percentage,EBAS
Switzerland,CHE,2018,11,RANK,16.0,Percentage of population,_T,7.841,Percentage,EBAS
